,fecha,tweets
690,2020-04-23 19:03:17,#Guayas | Colapsó estructura del puente de ingreso a #Colimes un camión se encuentra atrapado el incidente deja a… https://t.co/mZ9i0VFH2U
689,2020-04-23 19:06:50,#Urgente #Ecuador registra 22.160 casos confirmados por #COVID19Ecuador  en una nueva actualización de datos… https://t.co/Ho6ksYq9PS
688,2020-04-23 19:11:59,"Alguien recuerda quién  fue que dijo que ""no hay que botar a nadie de su trabajo"" en el inicio de la crisis… https://t.co/hCppQ8Jnzt"
687,2020-04-23 19:17:00,"🚨El #AlmorsaderoDT
Ministerio de @MinTrabajoEc anuncia la salida del Viceministro David Álvarez
El funcionario renu… https://t.co/EjIQgWbslE"
686,2020-04-23 19:19:54,#LosRíos | Con el objetivo de garantizar el bienestar de salubristas y usuarios durante emergencia sanitaria por… https://t.co/HrDuzfoItv
685,2020-04-23 19:23:48,Alguien sabe si los rubros $ de los fidecomisos q hay x el #Covid_19ec esta incluido los valores x Publicidad q hac… https://t.co/QEwUdTL5lV
684,2020-04-23 19:24:23,De 11.000 y pico d contagios a 22.000 (sea por lo q sea )  lo bueno q la curva está estabilizada  q ya todo está… https://t.co/Bc0PxRgcGK
683,2020-04-23 19:25:49,"#URGENTE #23Abril

Se duplicaron los Casos de #CORONAVIRUS en #Ecuador 🇪🇨

El Ministro de @Salud_Ec 
Juan Carlos Ce… https://t.co/NFHqoLs6yr"
682,2020-04-23 19:30:00,"""Los presos son personas vulnerables a contraer el #Covid_19ec por las condiciones de hacinamiento en las que viven… https://t.co/yv4FoULSpv"
681,2020-04-23 19:32:17,"#DíaDelLibro 📖
La lectura abre la mente te permite soñar viajar. La lectura hace que dudes más que reflexiones m… https://t.co/tWIUqR511W"
680,2020-04-23 19:33:28,Veamos cuales pueden ser la razones de mortalidad #Covid_19ec #Covid_19 en el mundo. Como aplicaría para Latinoamér… https://t.co/FC4YYLUMd8
679,2020-04-23 19:38:26,"No. de tests con diagnóstico por #CoronavirusEcuador #Covid_19ec 
Hoy 
@Salud_Ec
 soltó datos 23856 tests de una so… https://t.co/GKLPdTYSlK"
678,2020-04-23 19:39:55,"Ottito en vez de ponerse mascarilla se está quitando la máscara 
¿Realmente quiere ser presidente? 
#FOTTO… https://t.co/8vqnBwgJph"
677,2020-04-23 19:40:46,"Ahora somos Espartanos y la identidad de Batman es Clark Kent.
Viva Guayaquil viva Ecuador vivan los payasos de e… https://t.co/R4YAEDSiFM"
676,2020-04-23 19:42:16,@JC_MendozaM @fabriciovelav @Salud_Ec @DrJuanCZevallos No sé da cuenta q desde el primer día se están manipulando d… https://t.co/j7mrGnCCVm
675,2020-04-23 19:46:03,Definitivamente la luz q algunos vieron era la del #laringoscopio subiendo y sin fin esa curva #Covid_19ec q Dios n… https://t.co/F7W9txrnku
674,2020-04-23 20:02:13,La esposa de un amigo pudo morir por una mala práctica médica en el @OMNIHospital. Le diagnosticaron #Covid_19 sin… https://t.co/Wg7PKFwTod
673,2020-04-23 20:03:58,esto no es lo peor según el min. Zevallos ya están todos los resultados 22 mil contagiados y 25 mil descartados cua… https://t.co/DB35nQBJdS
672,2020-04-23 20:07:04,#ULTIMAHORA #CoronavirusEcuador #QuedateEnCasa #COVID19Ecuador #Covid_19ec #Quito #Guayaquil Haz tus compras con ve… https://t.co/XwLfRM3UaD
671,2020-04-23 20:20:38,"Vieja Ridícula Sinvergüenza Casi Loca: Cynthia Viteri
#CoronavirusEcuador
#Covid19Ec
#Covid_19ec
#Covid_19 https://t.co/yFJfB76XFv"
670,2020-04-23 20:21:43,⚠️La segunda: Cómo se testeó esa cantidad en 3 días? Ya se venía haciendo desde antes? Quién lo hizo? Y si fue así… https://t.co/tg8obMLr8W
669,2020-04-23 20:22:09,Y ojo .. somos muchos mas ... los que estamos en casa luchando con el virus detectado no por prueba #COVID19 del… https://t.co/bUsTJej1CN
668,2020-04-23 20:22:28,⚠️La tercera: Como es posible q dentro del informe oficial de cifras diarias hay una rebaja de la existencia de pru… https://t.co/ElewVdPRPH
667,2020-04-23 20:23:17,"⚠️ La cuarta: Qué tan pésimo está el manejo comunicativo del Gobierno que la Ministra Romo presenta datos ""oficiale… https://t.co/I82XDeTECE"
666,2020-04-23 20:23:32,Sigan saliendo sigan irrespetando el toque de queda sigan saliendo por gusto a las calles en la mañana.. Sigan siga… https://t.co/bScm2rCG8T
665,2020-04-23 20:29:03,#LadyVereda se apodera de las calles de Tumbaco y no deja que entre ayuda humanitaria al barrio más pobre de Quito… https://t.co/CFbJgdh4FX
664,2020-04-23 20:41:08,🔴#Ecuador: 11.183 casos confirmados Prov. Guayas Guayaquil encabeza con más contagiados 560 personas fallecidas… https://t.co/4AGFaWyD5q
663,2020-04-23 20:47:53,"Tanques de oxígeno en Guayaquil.

#Covid_19ec #COVID19Ecuador https://t.co/8OeTS4hoLf"
662,2020-04-23 20:49:17,"Mi objetivo principal para no morir de #Covid_19ec 
#SailorMoon #SailorMoonEternal https://t.co/1kTBJOJcXb"
661,2020-04-23 20:58:33,Pero qué maravilla d hijos q tienes viejo verde hipócrita @diegooquendo @visionquito @desdemivision… https://t.co/DFBhfOKhr1
660,2020-04-23 21:00:01,Para entender la información y dialogar con fundamento sobre el coronavirus es necesario aprender el nuevo vocabula… https://t.co/2hkeVi7lyb
659,2020-04-23 21:14:50,Yo cuando empezó el #Covid_19ec : Tengo que sobrevivir a esta pandemia porque este año se estrena la película de @sailormoon_25th
658,2020-04-23 21:27:30,"Pilas mis bro's ya no salgan...
#Ecuador #Viral #Quito #Guayaquil #Cuenca #Covid_19ec https://t.co/BEiXWyreaL"
657,2020-04-23 21:55:27,"Genera ganancias por Internet 
Fácil y cencillo
100% seguro 
Pagos desde 0.05
Regístrate en el link es 100% gratis… https://t.co/TgmTJdFsg4"
656,2020-04-23 22:04:21,#Loja | Información de casos #COVID_19Ec  en la provincia de Loja. https://t.co/PSCsguK4un #RecTv #RecTvNoticias https://t.co/WiTpMMvnFc
655,2020-04-23 22:12:25,A partir de hoy se podrán retomar los vuelos de repatriación de pasajeros tanto de ecuatorianos hacia el país com… https://t.co/o0EfRVMs7O
654,2020-04-23 22:13:21,"Las navieras nos dan sólo 8 días libres para uso de contenedores ""por la emergencia sanitaria"" por la misma razón d… https://t.co/zo185FQ8AO"
653,2020-04-23 22:16:16,#ZamoraChinchipe | Información de casos #Covid_19Ec en la provincia de Zamora Chinchipe. https://t.co/PSCsguK4un… https://t.co/zJs3gNTdgJ
652,2020-04-23 22:37:14,"22160 casos contagiados (incluye pruebas represadas ""10977 contagiados"" que no constan en las infografias ofrecida… https://t.co/abSYQJ52xH"
651,2020-04-23 22:39:44,"🔴¡Al AIRE! | En #ZoomAlDía 
Evaluaremos los anuncios de hoy en el marco de la emergencia sanitaria. 
Dialogaremos c… https://t.co/AVoCWsNvxG"
650,2020-04-23 22:49:04,Humanos solidarios el personal médico de la salud🇨🇺 #SalvaVidas en esta tierra 🇻🇪. CDI Los flores de Catia en… https://t.co/QS2GLLoyY0
649,2020-04-23 22:54:21,"#Covid_19 #Covid_19ec

¡Mientras el  gato duerme los ratones hacen fiesta!

#Ecuador cuidado nos dormimos mientras… https://t.co/jvsseQZgTf"
648,2020-04-23 22:57:34,"Guayas tiene 6 días de retraso en el proceso de pruebas Pichincha solamente 2.

Mañana se ponen al día... supuesta… https://t.co/B4tSZfpAEg"
647,2020-04-23 23:00:09,Quieren controlar al #Covid_19ec pretende bajar los sueldos se dan mas despidos pero la prueba para deteccion de… https://t.co/xA8CMD2XT3
646,2020-04-23 23:00:33,El confinamiento  suele traer riesgos de violencia intrafamiliar hacia niñas niños y mujeres. Por ello te recomend… https://t.co/RPUh33nMol
