,fecha,tweets
83,2020-04-03 00:29:49,RT @RNEAraucania: #TEMUCO #FarmaciaDeTurno esta noche SALCOBRAND de Av. Alemania #0815 @reddeemergencia @RNEAraucania #TodosSomosRNE #Abril…
84,2020-04-03 00:29:49,RT @rolandoteleSUR: El drama de #Guayaquil. Así fue el manejo de la crisis del nuevo #coronavirus #Covid_19 por los políticos de #Guayas. S…
85,2020-04-03 00:29:43,"RT @TPU19J: 🔥 #URGENTE 🔥 El dictador Lenin Moreno es indolente con el Pueblo de Ecuador, niega atenciones en los hospitales y niega la entr…"
86,2020-04-03 00:29:39,"RT @Velybutera: Situación muy triste de este chico al ver que a su madre no le dan la atención que requiere por su estado en emergencia, co…"
87,2020-04-03 00:29:36,"RT @EcuadorVideo: Situación muy triste en la que un joven pide desesperado   atención para su madre por su estado de emergencia, y le niega…"
88,2020-04-03 00:29:27,RT @rudytomastejada: @PedroPabloDuart @aguschmer @Cupsfire_gye @EmergenciasEc @tinocotania Favor su ayuda con el señor. #GuayaquilSOS #Ecua…
89,2020-04-03 00:29:23,"RT @EcuadorVideo: Situación muy triste en la que un joven pide desesperado   atención para su madre por su estado de emergencia, y le niega…"
90,2020-04-03 00:29:22,En todos lados ocurre esto. Aún la gente no se da cuenta del timo cubano médico. Siempre decepcionan a donde van.… https://t.co/T9YQhE0Bst
91,2020-04-03 00:29:09,RT @marcelaholguin: Miles de familias que hoy viven los momentos más dolorosos de su vida confiaron en la palabra de  @CataAndramuno!!! Ind…
92,2020-04-03 00:29:06,"RT @Vicever99396781: Más allá de su condición de traidor al pueblo que votó un programa de Izquierdas, #LeninMoreno ha demostrado ser un co…"
93,2020-04-03 00:28:56,Auxilio comunidad internacional!!! @AmnistiaOnline @ONU_es necesitamos que se investigue esto y se nos ayude… https://t.co/6yLntaALBb
94,2020-04-03 00:28:56,"RT @robinrobles: #ALERTA otro caso, con datos claros y detalles de la ubicación, es imprescindible retirar ese cuerpo. Es un foco de contag…"
95,2020-04-03 00:28:45,"RT @chinocarrasco_: Guayaquil | #Lluvia en estos momentos en el norte de #Guayaquil, sector San Felipe. Nos informan que se escucha truenos…"
